year,station,DT00,DT32,DX32,DX70,DX90,EMNT,EMXT,FZF0,FZF5,FZF6,FZF7,TAVG,TMAX,TMIN,CDSD,CLDD,FZF1,HDSD,HTDD,FZF8,FZF2,FZF9,FZF3,FZF4,DP01,DP10,DP1X,EMXP,PRCP,DSND,DSNW,EMSD,EMSN,SNOW,DYTS
1763,GHCND:ITE00100554,0.0,36.0,12.0,102.0,0.0,-6.3,30.9,-0.5,-2.4,-2.4,-5.4,12.41,14.84,9.98,,,,,,,,,,,,,,,,,,,,,
1764,GHCND:ITE00100554,0.0,7.0,0.0,115.0,0.0,-1.9,30.1,,-0.8,,,12.97,15.34,10.6,480.5,480.5,,,,,,,,,,,,,,,,,,,
1765,GHCND:ITE00100554,0.0,29.0,3.0,112.0,0.0,-3.9,29.2,-1.3,-0.5,-3.5,,12.73,14.97,10.49,329.2,329.2,-2.4,2368.2,2368.2,,,,,,,,,,,,,,,,
1766,GHCND:ITE00100554,0.0,57.0,22.0,118.0,0.0,-7.3,30.1,-0.6,0.0,-4.5,-4.5,12.51,14.87,10.14,462.2,462.2,-2.9,2505.1,2505.1,-6.8,,,,,,,,,,,,,,,
1767,GHCND:ITE00100554,0.0,51.0,31.0,102.0,0.0,-13.2,30.1,-0.2,-0.6,-4.4,-4.4,11.7,14.27,9.14,,,-2.9,,,-8.7,-5.3,-9.0,,,,,,,,,,,,,
1768,GHCND:ITE00100554,0.0,61.0,17.0,106.0,0.0,-7.6,31.3,-0.3,0.0,-3.2,-4.7,12.22,14.59,9.85,464.7,464.7,-3.3,2652.9,2652.9,-7.6,,,,,,,,,,,,,,,
1769,GHCND:ITE00100554,0.0,14.0,2.0,122.0,0.0,-5.0,31.9,-0.1,-0.9,-2.5,-5.0,13.09,15.5,10.67,,,-2.4,2408.1,2408.1,,,,,,,,,,,,,,,,
1770,GHCND:ITE00100554,0.0,39.0,8.0,129.0,0.0,-4.7,30.8,0.0,-0.3,-2.2,-4.4,12.98,15.33,10.63,508.2,508.2,-2.9,,,,,,,,,,,,,,,,,,
1771,GHCND:ITE00100554,0.0,20.0,2.0,128.0,0.0,-5.4,31.7,-0.7,-2.4,-2.4,-5.4,13.18,15.57,10.78,561.2,561.2,,2278.2,2278.2,,,,,,,,,,,,,,,,
1772,GHCND:ITE00100554,0.0,13.0,2.0,114.0,2.0,-2.8,35.1,-0.4,-0.6,-2.7,,14.38,16.62,12.15,571.8,571.8,,2042.9,2042.9,,,,,,,,,,,,,,,,
1773,GHCND:ITE00100554,0.0,18.0,0.0,133.0,0.0,-3.8,29.7,-0.1,-1.3,-3.8,,12.9,15.25,10.54,373.9,373.9,,2279.0,2279.0,,,,,,,,,,,,,,,,
1774,GHCND:ITE00100554,0.0,49.0,,,,-9.0,,-1.4,-0.5,-3.1,-4.5,,,10.12,,,-3.9,2229.0,2229.0,,-5.4,,-9.0,-9.0,,,,,,,,,,,
1775,GHCND:ITE00100554,0.0,,,,,,,,,,,,,,549.3,549.3,,,,,,,,,,,,,,,,,,,
1777,GHCND:ITE00100554,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1778,GHCND:ITE00100554,0.0,32.0,,,,-5.4,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1787,GHCND:ITE00100554,0.0,36.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1788,GHCND:ITE00100554,0.0,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1799,GHCND:ITE00100554,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1806,GHCND:ITE00100554,0.0,20.0,3.0,117.0,,,,,,,,,,,439.2,439.2,,,,,,,,,,,,,,,,,,,
1780,GHCND:ITE00100554,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1791,GHCND:ITE00100554,,,0.0,123.0,2.0,,32.9,,,,,,16.4,,,,,,,,,,,,,,,,,,,,,,
1776,GHCND:ITE00100554,,,,,,,,,,,,,,,487.7,,,,,,,,,,,,,,,,,,,,
1793,GHCND:ITE00100554,,,,,,,,,,,,,,,628.6,628.6,,,,,,,,,,,,,,,,,,,
1775,GHCND:EZE00100082,0.0,53.0,14.0,97.0,0.0,-16.0,31.3,0.0,-3.3,-3.3,-9.1,10.55,13.64,7.46,246.3,246.3,-2.7,,,-9.1,-4.6,-9.1,-7.0,-9.0,,,,,,,,,,,
1776,GHCND:EZE00100082,10.0,79.0,45.0,78.0,1.0,-22.7,32.4,-4.2,-0.4,-3.7,-13.3,8.53,11.72,5.34,114.6,114.6,-4.2,3481.8,3481.8,-13.3,-4.7,-13.3,-8.5,-10.8,,,,,,,,,,,
1777,GHCND:EZE00100082,0.0,84.0,38.0,58.0,0.0,-12.4,29.3,-1.3,-0.2,-2.3,-5.2,8.67,11.76,5.58,62.6,62.6,-4.4,3628.0,3628.0,-7.9,-4.4,-9.2,-12.4,-12.4,,,,,,,,,,,
1778,GHCND:EZE00100082,0.0,76.0,9.0,70.0,0.0,-9.9,31.4,-0.4,-0.8,-2.7,-6.8,9.91,13.17,6.65,188.4,188.4,-2.6,3330.2,3330.2,-6.8,,-9.9,,,,,,,,,,,,,
1779,GHCND:EZE00100082,0.0,75.0,22.0,86.0,0.0,-13.0,29.3,-0.3,-0.2,-2.6,-4.7,10.23,13.64,6.82,109.5,109.5,-2.2,3216.0,3216.0,-8.0,-8.6,-11.8,-8.6,-10.2,,,,,,,,,,,
1780,GHCND:EZE00100082,0.0,94.0,44.0,65.0,0.0,-16.2,28.0,-0.9,0.0,-2.2,-4.6,8.64,11.93,5.34,94.5,94.5,-2.7,3344.6,3344.6,-9.1,-5.5,-9.1,-8.7,-10.4,,,,,,,,,,,
1781,GHCND:EZE00100082,0.0,75.0,34.0,109.0,3.0,-12.7,34.4,-0.2,-1.0,-3.3,-7.0,10.08,13.22,6.95,310.3,310.3,-3.0,3356.6,3356.6,-7.0,-7.8,-10.5,-7.8,-9.3,,,,,,,,,,,
1782,GHCND:EZE00100082,2.0,95.0,51.0,83.0,3.0,-18.8,35.6,-0.1,0.0,-3.8,-7.0,8.84,11.91,5.77,211.7,211.7,-2.5,3494.6,3494.6,-7.0,-4.5,-10.1,-7.1,-9.2,,,,,,,,,,,
1783,GHCND:EZE00100082,2.0,82.0,38.0,97.0,1.0,-21.5,32.5,-3.0,-0.1,-3.1,-6.7,9.98,13.12,6.84,190.8,190.8,-3.0,3359.6,3359.6,-6.7,-4.4,-11.0,-7.1,-9.8,,,,,,,,,,,
1784,GHCND:EZE00100082,9.0,111.0,58.0,92.0,0.0,-25.5,30.9,-1.0,-0.5,-3.9,-6.6,8.16,11.46,4.87,196.4,196.4,-2.7,3906.3,3906.3,-8.4,-4.7,-10.2,-8.0,-9.8,,,,,,,,,,,
1785,GHCND:EZE00100082,4.0,118.0,61.0,77.0,0.0,-25.2,30.9,-0.9,-1.2,-3.0,-7.0,7.77,11.19,4.34,142.2,142.2,-3.1,3935.3,3935.3,-7.0,-5.8,-10.4,-6.9,-9.2,,,,,,,,,,,
1786,GHCND:EZE00100082,3.0,111.0,53.0,36.0,0.0,-21.1,26.5,-2.8,-0.9,-2.5,-7.1,7.36,10.47,4.25,30.9,30.9,-2.8,3534.7,3534.7,-7.1,-5.3,-9.5,-6.7,-10.8,,,,,,,,,,,
1787,GHCND:EZE00100082,0.0,72.0,30.0,92.0,1.0,-10.8,32.2,-0.6,-1.1,-3.5,-6.7,10.04,13.01,7.07,235.0,235.0,-3.5,4008.8,4008.8,-6.7,-6.4,-10.5,,,,,,,,,,,,,
1788,GHCND:EZE00100082,6.0,82.0,45.0,95.0,2.0,-23.8,33.4,-0.6,-0.3,-2.3,-7.9,9.47,12.51,6.44,261.2,261.2,-3.6,2944.4,2944.4,-7.9,-6.2,,-7.2,-10.0,,,,,,,,,,,
1789,GHCND:EZE00100082,7.0,70.0,23.0,105.0,0.0,-27.2,31.7,-1.3,-0.2,-3.2,-8.8,10.16,13.23,7.08,223.1,223.1,-5.2,3705.6,3705.6,-8.8,-5.2,-10.9,,,,,,,,,,,,,
1790,GHCND:EZE00100082,0.0,49.0,8.0,75.0,1.0,-6.2,32.2,0.0,-0.4,-2.2,-4.4,10.17,13.26,7.09,151.6,151.6,-3.0,2897.9,2897.9,,-5.5,,,,,,,,,,,,,,
1791,GHCND:EZE00100082,0.0,45.0,6.0,97.0,3.0,-6.6,33.0,-0.4,-2.8,-2.8,-4.4,11.04,14.05,8.02,251.2,251.2,-5.5,2954.5,2954.5,,-5.5,,,,,,,,,,,,,,
1792,GHCND:EZE00100082,0.0,74.0,26.0,96.0,2.0,-17.6,33.3,-0.1,-0.6,-2.2,-7.8,10.34,13.63,7.05,223.4,223.4,-2.5,3163.0,3163.0,-7.8,-4.7,-9.2,-7.6,,,,,,,,,,,,
1793,GHCND:EZE00100082,2.0,43.0,17.0,82.0,4.0,-21.6,37.0,-0.3,-0.2,-6.5,-6.5,10.58,13.6,7.55,235.8,235.8,-3.4,3262.8,3262.8,-6.8,-5.0,-14.4,-7.6,,,,,,,,,,,,
1794,GHCND:EZE00100082,0.0,37.0,11.0,92.0,2.0,-9.9,32.5,-1.2,-0.6,-2.3,-5.2,11.53,14.56,8.49,241.2,241.2,-3.8,2481.8,2481.8,,-6.4,,-7.6,-9.1,,,,,,,,,,,
1795,GHCND:EZE00100082,4.0,72.0,30.0,92.0,0.0,-22.6,31.1,-1.4,-0.1,-5.2,-5.2,10.01,13.29,6.74,165.1,165.1,-2.8,3374.9,3374.9,-7.5,,-15.3,,,,,,,,,,,,,
1796,GHCND:EZE00100082,0.0,69.0,17.0,98.0,0.0,-15.7,31.0,-0.7,-0.1,-3.8,-5.4,10.15,13.38,6.91,168.0,168.0,-2.4,2969.4,2969.4,-8.4,-6.5,-12.3,-8.6,-10.6,,,,,,,,,,,
1797,GHCND:EZE00100082,0.0,60.0,10.0,108.0,0.0,-6.4,31.9,-3.6,-2.1,-6.4,-6.4,11.08,14.38,7.78,263.1,263.1,-3.6,2998.8,2998.8,,-4.7,,,,,,,,,,,,,,
1798,GHCND:EZE00100082,4.0,79.0,28.0,117.0,0.0,-22.1,31.5,-0.4,-1.5,-4.7,-4.7,10.67,13.98,7.36,372.9,372.9,-3.9,2921.8,2921.8,-7.6,-8.7,,-8.7,-13.4,,,,,,,,,,,
