year,co2,co2_per_capita,co2_growth_abs,coal_co2,coal_co2_per_capita,TAVG,TMAX,TMIN
1770,12.274,0.015,0.004,12.274,0.015,12.98,15.33,10.63
1780,15.055,0.017,0.007,15.055,0.017,8.64,11.93,5.34
1790,19.177,0.021,0.007,19.177,0.021,10.17,13.26,7.09
1800,28.092,0.029,1.663,28.092,0.029,9.95,12.9,6.99
1801,27.96,0.028,-0.132,27.96,0.028,10.93,13.98,7.89
1802,36.783,0.037,8.823,36.783,0.037,10.18,13.6,6.76
1803,31.488,0.032,-5.294,31.488,0.032,9.28,12.42,6.13
1804,34.31,0.034,2.821,34.31,0.034,9.65,12.77,6.54
1806,35.046,0.035,1.627,35.046,0.035,10.97,14.14,7.79
1824,58.525,0.052,1.975,58.525,0.052,10.41,13.44,7.39
1825,60.756,0.054,2.231,60.756,0.054,10.31,13.52,7.11
1826,61.42,0.054,0.663,61.42,0.054,9.75,12.8,6.7
1833,86.807,0.073,1.696,86.807,0.073,9.6,14.13,5.07
1834,88.486,0.074,1.678,88.486,0.074,11.43,15.72,7.13
1835,90.446,0.076,1.96,90.446,0.076,9.87,14.14,5.61
1836,104.776,0.087,14.33,104.776,0.087,9.94,13.96,5.91
1837,104.691,0.087,-0.084,104.691,0.087,9.24,13.27,5.2
1849,183.511,0.144,9.695,183.511,0.144,9.71,13.93,5.49
1850,196.896,0.154,13.385,196.896,0.154,9.18,13.33,5.05
1851,198.805,0.155,1.909,198.805,0.155,9.61,13.53,5.69
1852,207.551,0.162,8.746,207.551,0.162,10.67,14.8,6.54
1854,255.139,0.198,37.93,255.139,0.198,9.73,13.77,5.69
1856,277.292,0.215,17.126,277.251,0.215,14.84,19.03,10.65
1878,704.379,0.501,5.281,694.339,0.494,18.64,21.37,15.91
1879,754.867,0.533,50.488,742.208,0.524,18.09,21.03,15.15
1884,1002.174,0.683,11.142,982.679,0.67,17.11,21.55,12.67
1887,1076.758,0.718,51.282,1041.488,0.694,18.63,22.79,14.46
1888,1192.272,0.788,115.514,1150.917,0.761,18.68,22.47,14.88
1889,1191.8,0.782,-0.472,1151.165,0.756,16.39,22.8,9.97
1891,1358.874,0.879,60.416,1309.094,0.847,17.74,21.9,13.58
1894,1400.858,0.888,47.189,1352.458,0.857,17.52,21.94,13.1
