tripduration,start station id,start station latitude,start station longitude,end station id,end station latitude,end station longitude,bikeid,usertype,birth year
3117,301,40.72217444,-73.98368779,301,40.72217444,-73.98368779,18070,Subscriber,1986
690,301,40.72217444,-73.98368779,349,40.71850211,-73.98329859,19699,Subscriber,1985
727,301,40.72217444,-73.98368779,2010,40.72165481,-74.00234737,20953,Subscriber,1982
698,301,40.72217444,-73.98368779,527,40.744023,-73.976056,23566,Subscriber,1976
351,301,40.72217444,-73.98368779,250,40.72456089,-73.99565293,17545,Subscriber,1959
597,301,40.72217444,-73.98368779,497,40.73704984,-73.99009296,17435,Subscriber,1979
1248,301,40.72217444,-73.98368779,505,40.74901271,-73.98848395,18236,Subscriber,1987
417,301,40.72217444,-73.98368779,268,40.71910537,-73.99973337,22454,Subscriber,1991
454,301,40.72217444,-73.98368779,128,40.72710258,-74.00297088,17910,Subscriber,1990
409,301,40.72217444,-73.98368779,439,40.7262807,-73.98978041,17127,Subscriber,1981
384,301,40.72217444,-73.98368779,439,40.7262807,-73.98978041,21215,Subscriber,1988
310,301,40.72217444,-73.98368779,403,40.72502876,-73.99069656,23524,Subscriber,1990
272,301,40.72217444,-73.98368779,312,40.722055,-73.989111,18174,Subscriber,1984
640,301,40.72217444,-73.98368779,151,40.7218158,-73.99720307,17968,Subscriber,1971
631,301,40.72217444,-73.98368779,380,40.73401143,-74.00293877,23247,Subscriber,1989
1158,301,40.72217444,-73.98368779,254,40.73532427,-73.99800419,14767,Subscriber,1986
1153,301,40.72217444,-73.98368779,254,40.73532427,-73.99800419,17457,Subscriber,1989
93,301,40.72217444,-73.98368779,317,40.72453734,-73.98185424,23302,Subscriber,1957
1168,301,40.72217444,-73.98368779,491,40.74096374,-73.98602213,16899,Customer,
1222,301,40.72217444,-73.98368779,379,40.749156,-73.9916,14722,Subscriber,1978
1217,301,40.72217444,-73.98368779,379,40.749156,-73.9916,18070,Subscriber,1983
2071,301,40.72217444,-73.98368779,533,40.75299641,-73.98721619,16102,Subscriber,1963
412,301,40.72217444,-73.98368779,428,40.72467721,-73.98783413,16107,Customer,
274,301,40.72217444,-73.98368779,428,40.72467721,-73.98783413,16406,Customer,
485,301,40.72217444,-73.98368779,251,40.72317958,-73.99480012,19568,Subscriber,1969
952,301,40.72217444,-73.98368779,491,40.74096374,-73.98602213,18803,Subscriber,1967
895,301,40.72217444,-73.98368779,474,40.7451677,-73.98683077,17537,Subscriber,1983
1217,301,40.72217444,-73.98368779,546,40.74444921,-73.98303529,17883,Customer,
1224,301,40.72217444,-73.98368779,546,40.74444921,-73.98303529,19104,Customer,
590,301,40.72217444,-73.98368779,297,40.734232,-73.986923,15937,Subscriber,1967
671,301,40.72217444,-73.98368779,357,40.73261787,-73.99158043,18974,Subscriber,1967
1311,301,40.72217444,-73.98368779,455,40.75001986,-73.96905301,21993,Customer,
360,301,40.72217444,-73.98368779,504,40.73221853,-73.98165557,20540,Subscriber,1986
1530,301,40.72217444,-73.98368779,546,40.74444921,-73.98303529,15146,Subscriber,1987
519,301,40.72217444,-73.98368779,361,40.71605866,-73.99190759,15915,Subscriber,1976
1041,301,40.72217444,-73.98368779,497,40.73704984,-73.99009296,15277,Subscriber,1973
1023,301,40.72217444,-73.98368779,442,40.746647,-73.993915,17285,Subscriber,1983
1154,301,40.72217444,-73.98368779,128,40.72710258,-74.00297088,17872,Subscriber,1980
1476,301,40.72217444,-73.98368779,386,40.71494807,-74.00234482,14599,Customer,
1392,301,40.72217444,-73.98368779,386,40.71494807,-74.00234482,18149,Customer,
1330,301,40.72217444,-73.98368779,386,40.71494807,-74.00234482,20243,Customer,
450,301,40.72217444,-73.98368779,250,40.72456089,-73.99565293,15880,Subscriber,1990
789,301,40.72217444,-73.98368779,151,40.7218158,-73.99720307,20635,Customer,
527,301,40.72217444,-73.98368779,375,40.72679454,-73.99695094,21365,Subscriber,1983
532,301,40.72217444,-73.98368779,375,40.72679454,-73.99695094,17200,Subscriber,1983
626,301,40.72217444,-73.98368779,293,40.73028666,-73.9907647,16806,Subscriber,1990
